InputSize,DataType,Time_ns,Comparisons,Swaps,ArrayAccesses
100,RANDOM,486400,539,0,5214
100,SORTED,41500,480,0,198
100,REVERSE_SORTED,176000,573,0,10098
100,NEARLY_SORTED,13100,489,0,268
1000,RANDOM,2533700,8587,0,501378
1000,SORTED,68100,7987,0,1998
1000,REVERSE_SORTED,1818900,8977,0,1000998
1000,NEARLY_SORTED,32400,8222,0,7514
10000,RANDOM,21850100,118939,0,49754724
10000,SORTED,239300,113631,0,19998
10000,REVERSE_SORTED,45550800,123617,0,100009998
10000,NEARLY_SORTED,1004200,118826,0,1555894
100000,RANDOM,1500553700,1522986,0,5005830210
100000,SORTED,1740500,1468946,0,199998
100000,REVERSE_SORTED,4360154600,1568929,0,10000099998
100000,NEARLY_SORTED,66950400,1523002,0,132467738
